customer_id,signup_date,city,age_group
1,2026-06-19,Chandigarh,46-60
2,2025-10-19,Amritsar,36-45
3,2025-12-02,Ludhiana,26-35
4,2026-05-13,Ludhiana,18-25
5,2025-09-13,Jalandhar,18-25
6,2026-02-10,Amritsar,18-25
7,2026-03-26,Delhi,26-35
8,2024-12-19,Amritsar,26-35
9,2024-08-12,Chandigarh,46-60
10,2025-02-14,Amritsar,18-25
11,2025-02-02,Chandigarh,46-60
12,2026-04-25,Delhi,36-45
13,2026-05-25,Ludhiana,46-60
14,2024-07-05,Chandigarh,26-35
15,2025-07-15,Chandigarh,18-25
16,2026-03-17,Delhi,36-45
17,2024-10-08,Delhi,18-25
18,2026-02-26,Ludhiana,18-25
19,2024-09-29,Chandigarh,36-45
20,2025-06-21,Jalandhar,36-45
21,2026-03-13,Delhi,18-25
22,2025-02-16,Delhi,18-25
23,2025-03-17,Ludhiana,46-60
24,2025-01-28,Chandigarh,18-25
25,2025-12-29,Jalandhar,36-45
26,2025-01-10,Delhi,18-25
27,2026-07-23,Ludhiana,36-45
28,2025-06-04,Amritsar,18-25
29,2025-06-29,Amritsar,26-35
30,2025-07-19,Chandigarh,18-25
31,2025-09-16,Ludhiana,26-35
32,2025-08-25,Jalandhar,36-45
33,2025-07-23,Chandigarh,18-25
34,2026-07-27,Jalandhar,18-25
35,2026-03-06,Chandigarh,36-45
36,2026-02-23,Chandigarh,26-35
37,2025-12-15,Amritsar,26-35
38,2025-10-16,Ludhiana,26-35
39,2025-03-17,Ludhiana,26-35
40,2026-07-22,Amritsar,46-60
41,2025-06-20,Jalandhar,18-25
42,2024-12-11,Jalandhar,36-45
43,2026-04-04,Ludhiana,26-35
44,2024-10-30,Ludhiana,36-45
45,2026-04-13,Chandigarh,26-35
46,2025-10-09,Amritsar,36-45
47,2024-09-26,Jalandhar,36-45
48,2024-08-03,Jalandhar,26-35
49,2025-06-04,Chandigarh,18-25
50,2024-07-28,Jalandhar,46-60
51,2024-10-16,Chandigarh,36-45
52,2025-07-27,Ludhiana,18-25
53,2026-07-08,Delhi,36-45
54,2025-06-20,Ludhiana,18-25
55,2026-03-07,Amritsar,26-35
56,2026-05-29,Jalandhar,46-60
57,2026-03-18,Ludhiana,26-35
58,2025-10-22,Ludhiana,18-25
59,2025-06-01,Ludhiana,26-35
60,2025-07-26,Ludhiana,18-25
61,2025-01-19,Delhi,18-25
62,2025-07-13,Delhi,18-25
63,2025-04-15,Jalandhar,18-25
64,2025-01-05,Delhi,18-25
65,2026-07-25,Jalandhar,26-35
66,2024-07-09,Amritsar,18-25
67,2024-09-12,Jalandhar,36-45
68,2024-11-24,Ludhiana,46-60
69,2026-07-07,Delhi,18-25
70,2025-12-08,Jalandhar,26-35
71,2026-05-02,Amritsar,26-35
72,2024-11-30,Chandigarh,18-25
73,2025-12-30,Jalandhar,18-25
74,2025-04-07,Amritsar,46-60
75,2025-07-07,Ludhiana,26-35
76,2024-07-03,Ludhiana,36-45
77,2025-10-13,Chandigarh,18-25
78,2026-03-23,Delhi,26-35
79,2025-11-17,Ludhiana,46-60
80,2024-10-26,Ludhiana,46-60
81,2025-08-10,Ludhiana,18-25
82,2025-01-20,Chandigarh,26-35
83,2026-07-04,Chandigarh,26-35
84,2026-05-01,Chandigarh,36-45
85,2024-11-19,Delhi,18-25
86,2025-07-23,Amritsar,18-25
87,2026-06-15,Chandigarh,36-45
88,2026-04-05,Delhi,26-35
89,2025-12-21,Amritsar,26-35
90,2025-10-30,Ludhiana,46-60
91,2024-08-02,Jalandhar,26-35
92,2026-01-15,Jalandhar,18-25
93,2025-06-25,Chandigarh,26-35
94,2024-09-08,Jalandhar,18-25
95,2025-01-02,Chandigarh,18-25
96,2025-08-16,Jalandhar,26-35
97,2026-01-04,Amritsar,46-60
98,2025-07-21,Chandigarh,26-35
99,2025-10-09,Ludhiana,26-35
100,2026-04-24,Chandigarh,26-35
101,2025-12-04,Amritsar,26-35
102,2025-04-01,Chandigarh,36-45
103,2025-11-01,Delhi,26-35
104,2025-09-28,Ludhiana,36-45
