transaction_id,customer_id,category,quantity,unit_price,transaction_date
1,1,Sports,1,2377.87,2026-06-20
2,1,Apparel,4,1295.74,2026-06-20
3,1,Sports,1,589.21,2026-06-20
4,1,Beauty,1,3255.75,2026-06-24
5,1,Beauty,2,3903.95,2026-06-25
6,1,Sports,3,3912.26,2026-06-26
7,1,Beauty,2,2158.01,2026-06-27
8,1,Electronics,1,471.59,2026-06-27
9,1,Electronics,3,2920.77,2026-06-28
10,1,Apparel,1,215.41,2026-06-28
11,1,Beauty,4,1101.85,2026-06-29
12,1,Sports,3,3354.79,2026-06-29
13,1,Electronics,3,2985.28,2026-06-29
14,1,Sports,4,1931.94,2026-06-30
15,1,Electronics,4,1525.64,2026-06-30
16,1,Sports,1,3160.74,2026-07-02
17,1,Beauty,1,3601.74,2026-07-03
18,1,Apparel,1,3037.17,2026-07-03
19,1,Apparel,4,1425.32,2026-07-05
20,1,Home & Kitchen,1,2483.25,2026-07-05
21,1,Home & Kitchen,3,576.27,2026-07-06
22,1,Home & Kitchen,2,3871.43,2026-07-06
23,1,Sports,1,3785.48,2026-07-09
24,1,Grocery,3,633.96,2026-07-09
25,1,Home & Kitchen,4,1816.92,2026-07-12
26,1,Beauty,3,3334.81,2026-07-13
27,1,Beauty,3,341.21,2026-07-15
28,1,Home & Kitchen,4,2822.05,2026-07-16
29,1,Beauty,2,1190.03,2026-07-18
30,1,Sports,2,3511.5,2026-07-19
31,2,Electronics,2,1729.22,2025-10-19
32,3,Apparel,4,1245.74,2025-12-03
33,3,Home & Kitchen,3,3050.53,2025-12-26
34,3,Apparel,3,2446.61,2026-01-22
35,3,Apparel,4,2294.58,2026-02-13
36,3,Apparel,2,1179.5,2026-02-24
37,3,Sports,1,2795.82,2026-03-14
38,3,Home & Kitchen,3,3853.73,2026-03-20
39,3,Grocery,1,1094.55,2026-03-21
40,3,Apparel,2,3289.99,2026-04-04
41,3,Beauty,1,3677.23,2026-04-16
42,3,Home & Kitchen,2,2181.25,2026-05-21
43,3,Grocery,1,3679.75,2026-07-13
